,features,Importance
0,yearsExperience,887
1,milesFromMetropolis,680
2,grp_mean,546
3,grp_median,662
4,grp_max,495
5,grp_min,553
6,grp_std,689
7,companyId_COMP53,2
8,companyId_COMP37,1
9,companyId_COMP57,4
10,companyId_COMP42,3
11,companyId_COMP54,0
12,companyId_COMP18,2
13,companyId_COMP31,1
14,companyId_COMP55,0
15,companyId_COMP45,0
16,companyId_COMP30,0
17,companyId_COMP19,1
18,companyId_COMP35,0
19,companyId_COMP48,1
20,companyId_COMP43,3
21,companyId_COMP15,2
22,companyId_COMP59,1
23,companyId_COMP50,2
24,companyId_COMP7,0
25,companyId_COMP5,1
26,companyId_COMP20,1
27,companyId_COMP28,1
28,companyId_COMP47,1
29,companyId_COMP27,1
30,companyId_COMP26,2
31,companyId_COMP0,0
32,companyId_COMP32,0
33,companyId_COMP8,1
34,companyId_COMP33,1
35,companyId_COMP10,2
36,companyId_COMP46,0
37,companyId_COMP1,1
38,companyId_COMP12,2
39,companyId_COMP39,1
40,companyId_COMP36,0
41,companyId_COMP11,0
42,companyId_COMP56,4
43,companyId_COMP6,2
44,companyId_COMP24,1
45,companyId_COMP3,0
46,companyId_COMP38,1
47,companyId_COMP22,0
48,companyId_COMP52,2
49,companyId_COMP4,1
50,companyId_COMP25,0
51,companyId_COMP60,1
52,companyId_COMP23,0
53,companyId_COMP49,1
54,companyId_COMP62,2
55,companyId_COMP51,3
56,companyId_COMP14,2
57,companyId_COMP17,0
58,companyId_COMP61,2
59,companyId_COMP16,2
60,companyId_COMP29,0
61,companyId_COMP34,1
62,companyId_COMP58,0
63,companyId_COMP9,0
64,companyId_COMP41,2
65,companyId_COMP21,0
66,companyId_COMP13,4
67,companyId_COMP44,0
68,companyId_COMP2,2
69,companyId_COMP40,1
70,jobType_JANITOR,23
71,jobType_JUNIOR,145
72,jobType_SENIOR,125
73,jobType_MANAGER,80
74,jobType_VICE_PRESIDENT,49
75,jobType_CFO,59
76,jobType_CTO,59
77,jobType_CEO,114
78,degree_NONE,30
79,degree_HIGH_SCHOOL,7
80,degree_BACHELORS,26
81,degree_MASTERS,29
82,degree_DOCTORAL,60
83,major_NONE,96
84,major_LITERATURE,50
85,major_BIOLOGY,18
86,major_CHEMISTRY,4
87,major_PHYSICS,11
88,major_COMPSCI,17
89,major_MATH,24
90,major_BUSINESS,77
91,major_ENGINEERING,71
92,industry_EDUCATION,101
93,industry_SERVICE,82
94,industry_AUTO,48
95,industry_HEALTH,50
96,industry_WEB,44
97,industry_FINANCE,75
98,industry_OIL,82
